location_id,medianpickuptime
1,20.0
2,19.0
3,17.0
4,18.5
5,26.0
6,19.5
7,16.5
8,20.0
9,19.0
10,15.0
11,19.0
12,19.0
13,20.0
14,21.0
15,22.0
16,22.0
17,17.0
18,23.0
19,23.0
20,19.5
21,16.5
22,16.5
23,17.0
24,16.0
25,19.0
26,24.0
27,22.0
28,23.0
29,25.5
30,19.0
31,20.0
32,18.0
33,17.0
34,16.0
35,19.0
36,18.0
37,20.0
38,19.0
39,22.0
40,18.0
41,21.0
42,18.0
43,21.0
44,26.5
45,25.0
46,21.5
47,20.0
48,20.0
49,19.0
50,19.0
51,20.5
52,23.0
53,28.0
54,40.0
55,39.5
56,39.0
57,24.0
58,25.0
59,24.0
60,23.0
61,23.0
62,21.0
63,23.0
64,20.0
65,19.5
66,22.0
67,20.5
68,24.5
69,22.0
70,20.5
71,23.0
72,21.0
73,23.0
74,26.0
75,22.0
76,24.5
77,24.5
78,20.0
79,16.0
80,21.0
81,18.0
82,18.0
83,21.0
84,20.0
85,25.0
